City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Coahuayana,MX,2021-10-31 02:27:46,18.7333,-103.6833,77.4,88,6,0.56,clear sky
84,Bethel,US,2021-10-31 02:27:46,41.3712,-73.414,57.67,93,90,0.0,mist
85,Nemuro,JP,2021-10-31 02:27:47,43.3236,145.575,55.83,74,78,11.18,broken clouds
86,Dangriga,BZ,2021-10-31 02:27:47,16.9692,-88.2321,75.97,74,98,7.72,overcast clouds
87,Bethlehem,BR,2021-10-31 02:24:04,-1.4558,-48.5044,78.84,89,75,5.75,broken clouds
88,Aksay,RU,2021-10-31 02:27:47,47.26,39.87,37.78,76,0,8.7,clear sky
89,Waldshut-Tiengen,DE,2021-10-31 02:27:48,47.6232,8.2172,53.24,100,98,1.68,overcast clouds
90,Avarua,CK,2021-10-31 02:22:54,-21.2078,-159.775,77.05,57,20,11.5,few clouds
91,Iqaluit,CA,2021-10-31 02:27:48,63.7506,-68.5145,37.13,74,75,8.01,broken clouds
92,Goderich,CA,2021-10-31 02:27:48,43.7501,-81.7165,48.9,87,100,5.75,overcast clouds
93,Kapaa,US,2021-10-31 02:28:49,22.0752,-159.319,82.38,76,90,5.75,moderate rain
94,Dzaoudzi,YT,2021-10-31 02:28:49,-12.7887,45.2699,76.89,83,20,4.61,few clouds
95,Lompoc,US,2021-10-31 02:28:49,34.6391,-120.4579,60.57,90,90,6.91,fog
96,Carnarvon,AU,2021-10-31 02:28:12,-24.8667,113.6333,73.47,56,0,18.41,clear sky
97,Sinop,TR,2021-10-31 02:28:50,41.7711,34.8709,46.94,75,27,8.79,scattered clouds
98,Chiredzi,ZW,2021-10-31 02:28:50,-21.05,31.6667,68.94,65,1,10.92,clear sky
99,Tinskoy,RU,2021-10-31 02:28:50,56.1525,96.9161,30.65,72,100,4.52,overcast clouds
100,Pacific Grove,US,2021-10-31 02:26:45,36.6177,-121.9166,61.43,91,90,1.99,overcast clouds
101,Scarborough,GB,2021-10-31 02:28:51,54.2797,-0.4044,46.08,89,54,3.0,broken clouds
102,Upernavik,GL,2021-10-31 02:28:51,72.7868,-56.1549,30.34,66,100,7.45,overcast clouds
103,Krasnoselkup,RU,2021-10-31 02:28:41,65.7,82.4667,12.69,95,100,11.23,light snow
104,Plettenberg Bay,ZA,2021-10-31 02:28:32,-34.0527,23.3716,59.18,88,59,1.41,broken clouds
