City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
45,Thompson,CA,2021-10-30 04:04:16,55.7435,-97.8558,34.14,85,56,5.44
46,Hithadhoo,MV,2021-10-30 04:05:16,-0.6,73.0833,83.95,71,100,15.7
47,Tuatapere,NZ,2021-10-30 04:05:16,-46.1333,167.6833,63.28,76,100,8.93
48,Siraha,NP,2021-10-30 04:05:17,26.6541,86.2087,76.71,63,0,5.21
49,Barrow,US,2021-10-30 04:05:17,71.2906,-156.7887,5.02,78,75,9.22
50,Yar-Sale,RU,2021-10-30 04:05:17,66.8333,70.8333,12.29,91,100,21.41
51,Kaitangata,NZ,2021-10-30 04:05:18,-46.2817,169.8464,68.22,54,38,13.98
52,Lorengau,PG,2021-10-30 04:05:18,-2.0226,147.2712,85.17,69,95,5.48
53,Punta Arenas,CL,2021-10-30 04:05:18,-53.15,-70.9167,37.51,75,0,12.66
54,Salalah,OM,2021-10-30 04:05:18,17.0151,54.0924,79.81,61,14,2.13
55,Saskylakh,RU,2021-10-30 04:05:19,71.9167,114.0833,-6.05,96,98,9.37
56,Bredasdorp,ZA,2021-10-30 04:05:19,-34.5322,20.0403,58.28,81,96,4.0
57,Port Lincoln,AU,2021-10-30 04:05:19,-34.7333,135.8667,59.52,51,35,8.28
58,Ambilobe,MG,2021-10-30 04:05:20,-13.2,49.05,79.97,68,3,1.34
59,Saint George,US,2021-10-30 04:04:33,37.1041,-113.5841,67.53,53,1,1.01
60,Columbia,US,2021-10-30 04:05:02,34.0007,-81.0348,55.4,91,90,1.01
61,Pangnirtung,CA,2021-10-30 04:05:20,66.1451,-65.7125,34.83,97,100,6.31
62,Akdagmadeni,TR,2021-10-30 04:05:20,39.6603,35.8836,35.73,92,17,3.11
63,Nador,MA,2021-10-30 04:05:21,35.174,-2.9287,59.25,77,0,2.3
64,Acapulco,MX,2021-10-30 04:05:21,16.8634,-99.8901,79.3,86,22,3.8
65,Puerto Ayora,EC,2021-10-30 04:05:21,-0.7393,-90.3518,69.94,89,77,8.81
66,Tilichiki,RU,2021-10-30 04:05:22,60.4667,166.1,24.85,96,100,4.38
67,Bambous Virieux,MU,2021-10-30 04:05:22,-20.3428,57.7575,73.22,79,83,5.06
68,Padang,ID,2021-10-30 04:05:22,-0.9492,100.3543,86.05,74,78,4.05
69,Bac Lieu,VN,2021-10-30 04:05:23,9.285,105.7244,84.42,74,98,16.4
70,Placido De Castro,BR,2021-10-30 04:05:23,-10.3353,-67.1856,77.92,67,46,2.59
71,Srivardhan,IN,2021-10-30 04:05:23,18.0333,73.0167,80.28,44,85,5.75
72,Port Alfred,ZA,2021-10-30 04:05:24,-33.5906,26.891,62.98,79,49,17.54
73,Muzhi,RU,2021-10-30 04:05:24,65.3667,64.6667,14.13,79,3,13.49
