City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
107,Port Lincoln,AU,64.87,clear sky,-34.7333,135.8667,Port Lincoln Hotel
108,Hithadhoo,MV,82.65,overcast clouds,-0.6,73.0833,Scoop Guest House
111,Panama City,PA,79.29,scattered clouds,8.9936,-79.5197,Riande Urban Hotel
113,Colares,PT,68.99,overcast clouds,38.7992,-9.4469,Arribas Sintra Hotel
114,Vao,NC,71.91,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
115,Brownwood,US,67.77,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
116,Inverell,AU,75.67,clear sky,-29.7833,151.1167,Sapphire City Motor Inn
117,Cockburn Town,TC,82.62,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
120,Saint-Philippe,RE,69.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
121,Malkangiri,IN,75.61,scattered clouds,18.35,81.9,S.Apartment
124,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
125,Whakatane,NZ,69.51,overcast clouds,-37.9585,176.9854,Pacific Coast Motel
131,Pindwara,IN,67.57,clear sky,24.8,73.0667,Arbuda tour and travels
132,Kabompo,ZM,68.5,scattered clouds,-13.5927,24.2008,Big Tree
136,Kavaratti,IN,81.79,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
138,San Bernardo,CL,74.75,overcast clouds,-33.6,-70.7167,Jose antonio gajardo meza
140,Atuona,PF,78.35,few clouds,-9.8,-139.0333,Villa Enata
141,Arrecife,ES,68.07,clear sky,28.963,-13.5477,Hotel Lancelot
143,Zhucheng,CN,68.16,overcast clouds,35.9947,119.3975,Fanrong Hotel
144,Sancti Spiritus,CU,71.82,overcast clouds,21.9297,-79.4425,Hostal El Parque
145,Souillac,MU,73.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
151,Touros,BR,77.9,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
152,Hasaki,JP,62.89,light rain,35.7333,140.8333,Hotel Sunrise Choshi
153,Cuamba,MZ,70.41,clear sky,-14.8031,36.5372,Hotel Vision
157,Sao Filipe,CV,79.95,overcast clouds,14.8961,-24.4956,Hotel Xaguate
160,Bambous Virieux,MU,73.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
162,Mahebourg,MU,73.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
164,Almeirim,BR,75.67,clear sky,-1.5233,-52.5817,Ricácio Hotel
165,Puri,IN,81.37,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
166,Mount Gambier,AU,62.51,broken clouds,-37.8333,140.7667,The Commodore
168,Westport,US,58.75,light rain,41.1415,-73.3579,Norwalk Inn
169,Richards Bay,ZA,61.07,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
171,Porto-Vecchio,FR,64.06,overcast clouds,41.591,9.2795,Hôtel Le Goéland - Casa Santini
177,Esperance,AU,78.64,clear sky,-33.8667,121.9,Hospitality Esperance
178,Chazuta,PE,77.85,scattered clouds,-6.5742,-76.1367,El Duende
179,Los Llanos De Aridane,ES,63.12,clear sky,28.6585,-17.9182,Valle Aridane
181,Guider,CM,82.24,overcast clouds,9.9342,13.9486,"AUBERGE LA GRACE , GÉRANT : OUDAWAREME BALTHAZAR"
183,Victoria,HK,77.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
184,San Antonio,US,69.28,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
185,Palafrugell,ES,62.71,overcast clouds,41.9174,3.1631,Hotel La Torre
186,Umm Lajj,SA,82.18,clear sky,25.0213,37.2685,Moon light Furnished Units
192,Moundou,TD,74.57,overcast clouds,8.5667,16.0833,Planete Life
193,Seoul,KR,62.11,few clouds,37.5683,126.9778,Lotte Hotel Seoul
195,Sadiqabad,PK,78.17,clear sky,28.3062,70.1307,MIDWAY HOTEL & RESTAURANT
196,Tateyama,JP,63.1,light rain,34.9833,139.8667,Tateyama Seaside Hotel
197,Acara,BR,74.46,overcast clouds,-1.9608,-48.1967,Hotel Vale do Acará
199,Samarai,PG,84.16,overcast clouds,-10.6167,150.6667,Nuli Sapi
200,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
201,Marsh Harbour,BS,77.25,broken clouds,26.5412,-77.0636,Abaco Beach Resort
204,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
205,Cidreira,BR,67.77,overcast clouds,-30.1811,-50.2056,Hotel Castelo
208,Kavieng,PG,82.83,moderate rain,-2.5744,150.7967,Nusa Island Retreat
209,Faanui,PF,78.94,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
213,Himatangi,NZ,63.64,clear sky,-40.4,175.3167,The Lodge - Himatangi Country Estate
214,Ponta Do Sol,PT,70.72,broken clouds,32.6667,-17.1,Hotel do Campo
215,Point Pedro,LK,79.68,light rain,9.8167,80.2333,Gtr homes
